airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,No info,15764
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,14714
Indigo,2019-03-09,Banglore,New Delhi,10:30:00,13:20:00,170,0.0,No info,6860
Indigo,2019-05-15,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No info,6027
Multiple Carriers,2019-05-15,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No info,9103
Indigo,2019-03-21,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4148
Air India,2019-05-18,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,13591
Spicejet,2019-03-21,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No info,4148
Spicejet,2019-04-21,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,6356
Indigo,2019-05-21,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No info,6794
Jet Airways,2019-03-03,Banglore,New Delhi,05:45:00,05:05:00,1400,1.0,In-flight meal not included,11087
Indigo,2019-06-09,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3749
Multiple Carriers,2019-06-03,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No info,6795
Multiple Carriers,2019-03-21,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No info,13542
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,15:15:00,495,1.0,No info,12284
Air Asia,2019-06-24,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No info,6152
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,10703
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,20:40:00,1495,1.0,In-flight meal not included,10031
Spicejet,2019-03-15,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,2647
Indigo,2019-06-15,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No info,5883
Indigo,2019-06-09,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5458
Jet Airways,2019-05-21,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,12898
Spicejet,2019-04-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,3971
Indigo,2019-06-09,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No info,4804
Indigo,2019-03-27,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No info,7731
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,No info,25735
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,No info,13941
Goair,2019-06-12,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,5842
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,No info,14714
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No info,12692
Multiple Carriers,2019-03-27,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No info,6128
Spicejet,2019-05-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,4319
Vistara,2019-05-18,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,4668
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,22:55:00,945,1.0,No info,8295
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Spicejet,2019-06-03,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3919
Air India,2019-05-06,Kolkata,Banglore,10:00:00,10:00:00,1440,2.0,No info,14298
Jet Airways,2019-05-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2759
Indigo,2019-05-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3419
Spicejet,2019-05-09,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4885
Air India,2019-06-06,Kolkata,Banglore,16:50:00,11:10:00,1100,1.0,No info,8366
Jet Airways,2019-03-09,Delhi,Cochin,15:05:00,18:50:00,1665,1.0,No info,16289
Indigo,2019-05-24,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No info,2437
Spicejet,2019-06-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No info,2227
Vistara,2019-06-06,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,4668
Air India,2019-05-24,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No info,14083
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No info,11269
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Indigo,2019-05-09,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No info,6218
Goair,2019-05-12,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No info,8855
Indigo,2019-05-21,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,1520,1.0,In-flight meal not included,5963
Air India,2019-05-24,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No info,11201
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10675
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Indigo,2019-06-15,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No info,6147
Air India,2019-03-21,Delhi,Cochin,06:50:00,19:15:00,2185,2.0,No info,10756
Indigo,2019-05-24,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No info,6218
Air India,2019-03-21,Delhi,Cochin,17:45:00,23:00:00,315,1.0,No info,5704
Jet Airways,2019-05-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12373
Multiple Carriers,2019-03-21,Delhi,Cochin,08:55:00,19:15:00,620,1.0,No info,10161
Jet Airways,2019-05-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,7229
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Air India,2019-06-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No info,3625
Multiple Carriers,2019-06-12,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No info,9646
Vistara,2019-06-09,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No info,4878
Vistara,2019-03-24,Kolkata,Banglore,09:55:00,20:25:00,630,1.0,No info,12312
Indigo,2019-04-24,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Air India,2019-05-09,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No info,8366
Indigo,2019-03-06,Delhi,Cochin,04:55:00,16:10:00,675,1.0,No info,6171
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No info,11642
Vistara,2019-05-18,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No info,6741
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No info,8610
Indigo,2019-03-09,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No info,13611
Air Asia,2019-05-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Spicejet,2019-06-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Indigo,2019-06-18,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3419
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Air India,2019-05-12,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No info,6121
Indigo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No info,6171
Jet Airways,2019-06-12,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Air India,2019-03-15,Banglore,New Delhi,09:30:00,16:20:00,410,1.0,No info,8714
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No info,7927
Air Asia,2019-06-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,4282
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Jet Airways,2019-05-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Indigo,2019-03-18,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No info,3342
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No info,14388
Vistara,2019-03-03,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No info,8553
Multiple Carriers,2019-06-03,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No info,12402
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,13:15:00,450,1.0,In-flight meal not included,9134
Jet Airways,2019-06-12,Delhi,Cochin,08:10:00,04:25:00,1215,2.0,No info,14300
Air India,2019-03-27,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No info,5998
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,22:35:00,1660,1.0,In-flight meal not included,7064
Air India,2019-03-27,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No info,7416
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,10844
Air Asia,2019-04-06,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,3807
Indigo,2019-04-12,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4990
Goair,2019-05-21,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No info,5842
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,8834
Spicejet,2019-06-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No info,8040
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No info,15129
Air India,2019-03-24,Kolkata,Banglore,20:30:00,12:30:00,960,1.0,No info,12173
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,7064
Air India,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,8372
Jet Airways,2019-06-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,In-flight meal not included,7832
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No info,13364
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,7757
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No info,9345
Indigo,2019-06-18,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No info,13626
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No info,6148
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,23:00:00,680,1.0,No info,16736
Multiple Carriers,2019-03-09,Delhi,Cochin,16:00:00,01:35:00,575,1.0,In-flight meal not included,14086
Air India,2019-05-06,Delhi,Cochin,09:45:00,09:25:00,1420,,No info,7480
Air India,2019-05-18,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,11228
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,No info,19225
Indigo,2019-04-06,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,3480
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,10262
Goair,2019-03-09,Banglore,New Delhi,15:50:00,20:15:00,265,1.0,No info,7657
Air India,2019-03-18,Banglore,New Delhi,13:50:00,18:40:00,1730,1.0,No info,11161
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Jet Airways,2019-05-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No info,16079
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Indigo,2019-04-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6258
Jet Airways,2019-05-18,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,12373
Indigo,2019-05-03,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No info,4804
Air Asia,2019-06-09,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No info,8759
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,16704
Jet Airways,2019-05-21,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,16289
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,20:20:00,740,1.0,No info,16736
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,No info,14781
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12373
Vistara,2019-06-18,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No info,4668
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No info,14571
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,19:00:00,780,1.0,In-flight meal not included,10791
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Jet Airways,2019-06-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,8016
Multiple Carriers,2019-06-15,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No info,10678
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,15147
Multiple Carriers,2019-03-06,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No info,24318
Spicejet,2019-04-12,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,5621
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,11507
Goair,2019-06-03,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No info,4959
Indigo,2019-04-18,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4990
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,7064
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Jet Airways,2019-04-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Air India,2019-03-21,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No info,6902
Indigo,2019-05-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No info,2227
Air India,2019-06-01,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No info,7480
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No info,13378
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318
Multiple Carriers,2019-06-03,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,7408
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,14323
Indigo,2019-03-24,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No info,4777
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,5228
Jet Airways,2019-05-21,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,12898
Indigo,2019-04-24,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No info,6027
Indigo,2019-03-09,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No info,7303
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No info,14571
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,13377
Air India,2019-06-27,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,13591
Air India,2019-05-09,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No info,14431
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,19:10:00,805,1.0,In-flight meal not included,7832
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,13:15:00,375,1.0,In-flight meal not included,7832
Air India,2019-05-06,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,11701
Multiple Carriers,2019-05-01,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,15373
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No info,18286
Spicejet,2019-06-03,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5726
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Jet Airways,2019-06-27,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No info,13764
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,16:45:00,1130,1.0,No info,12395
Air India,2019-03-18,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,4405
Indigo,2019-06-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No info,6442
Multiple Carriers,2019-06-06,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No info,18275
Air India,2019-04-18,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,8246
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,15078
Multiple Carriers,2019-05-09,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,9424
Jet Airways,2019-06-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,8016
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No info,14231
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,In-flight meal not included,7064
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No info,14939
Indigo,2019-05-12,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No info,2227
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8849
Air India,2019-05-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3625
Air India,2019-06-06,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No info,13591
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Indigo,2019-05-18,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No info,6442
Jet Airways,2019-03-15,Banglore,New Delhi,08:55:00,08:15:00,1400,1.0,In-flight meal not included,10405
Spicejet,2019-03-21,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No info,4945
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,19:45:00,2245,2.0,In-flight meal not included,9296
Air India,2019-04-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,6094
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,18:50:00,650,1.0,In-flight meal not included,6540
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Spicejet,2019-05-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,4423
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,04:45:00,455,1.0,No info,13759
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,In-flight meal not included,10539
Indigo,2019-06-24,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4823
Air India,2019-06-15,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,7480
Multiple Carriers,2019-03-03,Delhi,Cochin,13:55:00,21:00:00,425,1.0,No info,17057
Jet Airways,2019-06-12,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No info,13292
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No info,14571
Spicejet,2019-06-24,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No info,5583
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:25:00,2315,2.0,No info,25430
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No info,4377
Indigo,2019-06-27,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,3943
Jet Airways,2019-05-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,9732
Indigo,2019-06-12,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No info,5883
Goair,2019-06-06,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,3419
Indigo,2019-05-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,7189
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1.0,No info,13817
Air India,2019-05-18,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,8907
Jet Airways,2019-06-09,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,10577
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No info,13587
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No info,14151
Air India,2019-04-06,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4460
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,10703
Air India,2019-05-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,9925
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Air India,2019-06-03,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No info,12488
Indigo,2019-05-09,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No info,3540
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,10844
Indigo,2019-06-15,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No info,3175
Air India,2019-05-18,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No info,8879
Air India,2019-06-09,Delhi,Cochin,20:00:00,19:15:00,1395,1.0,No info,8372
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,No info,12284
Vistara,2019-03-24,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No info,4878
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,9345
Jet Airways,2019-05-09,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No info,14151
Indigo,2019-05-15,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,6015
Jet Airways,2019-06-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,8016
Air India,2019-06-09,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No info,9968
Indigo,2019-03-27,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No info,2227
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No info,9345
Spicejet,2019-06-06,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Indigo,2019-03-03,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No info,5618
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No info,15129
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Air India,2019-05-21,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Multiple Carriers,2019-06-06,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No info,10877
Air India,2019-03-21,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,8236
Air Asia,2019-04-12,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,4483
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,09:00:00,965,1.0,1 Long layover,25735
Indigo,2019-06-12,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,4823
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,12:25:00,810,1.0,No info,13817
Indigo,2019-06-27,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,3943
Air India,2019-03-21,Banglore,New Delhi,11:50:00,23:55:00,725,1.0,No info,5092
Indigo,2019-03-27,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No info,5198
Multiple Carriers,2019-03-06,Delhi,Cochin,07:10:00,22:20:00,910,1.0,In-flight meal not included,7563
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No info,15129
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No info,10696
Air India,2019-05-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,3100
Spicejet,2019-06-12,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,775,1.0,In-flight meal not included,14053
Indigo,2019-06-21,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,3943
Air India,2019-06-18,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,5228
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No info,6717
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,9663
Spicejet,2019-05-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Indigo,2019-06-24,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,5775
Air India,2019-04-03,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,5022
Air India,2019-03-06,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No info,13942
Jet Airways,2019-05-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,7229
Multiple Carriers,2019-06-01,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,8937
Air India,2019-03-24,Banglore,New Delhi,06:10:00,08:55:00,165,0.0,No info,4441
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,20:25:00,1645,1.0,No info,12102
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,8586
Air India,2019-03-06,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,9190
